Sample;Ch4
0;-0.1501956284046173
1;-0.15524421632289886
2;-0.15953552722930908
3;-0.16332197189331055
4;-0.1706424355506897
5;-0.17240943014621735
6;-0.1761958748102188
7;-0.18553577363491058
8;-0.19058437645435333
9;-0.1999242603778839
10;-0.20194369554519653
11;-0.2067398726940155
12;-0.21077874302864075
13;-0.21759434044361115
14;-0.2216332107782364
15;-0.2249148041009903
16;-0.2284488081932068
17;-0.23097310960292816
18;-0.24561402201652527
19;-0.24611888825893402
20;-0.24611888825893402
21;-0.2584879398345947
22;-0.26606082916259766
23;-0.26277923583984375
24;-0.2698472738265991
25;-0.27287644147872925
26;-0.2781774401664734
27;-0.2837308943271637
28;-0.28877949714660645
29;-0.28877949714660645
30;-0.293575644493103
31;-0.298371821641922
32;-0.3019058406352997
33;-0.3041777014732361
34;-0.3051874339580536
35;-0.30670198798179626
36;-0.31477975845336914
37;-0.31477975845336914
38;-0.3127603232860565
39;-0.3205856382846832
40;-0.320838063955307
41;-0.3205856382846832
42;-0.32714879512786865
43;-0.3332071006298065
44;-0.3319449722766876
45;-0.3332071006298065
46;-0.3309352397918701
47;-0.3354789912700653
48;-0.3332071006298065
49;-0.3334595263004303
50;-0.33724597096443176
51;-0.3392654061317444
52;-0.33850812911987305
53;-0.3422945737838745
54;-0.3357314169406891
55;-0.3377508521080017
56;-0.3400227129459381
57;-0.3445664346218109
58;-0.343304306268692
59;-0.34305185079574585
60;-0.3435567319393158
61;-0.33497411012649536
62;-0.34406158328056335
63;-0.3410324156284332
64;-0.33749842643737793
65;-0.34507131576538086
66;-0.3478480279445648
67;-0.3435567319393158
68;-0.346081018447876
69;-0.34279942512512207
70;-0.3445664346218109
71;-0.3377508521080017
72;-0.33749842643737793
73;-0.3357314169406891
74;-0.3334595263004303
75;-0.3344692587852478
76;-0.334216833114624
77;-0.32740122079849243
78;-0.32841095328330994
79;-0.32512935996055603
80;-0.31604188680648804
81;-0.3231099247932434
82;-0.314527302980423
83;-0.31705161929130554
84;-0.3107408583164215
85;-0.31149816513061523
86;-0.3061971366405487
87;-0.3019058406352997
88;-0.29685723781585693
89;-0.29685723781585693
90;-0.2960999608039856
91;-0.2905465066432953
92;-0.2844882011413574
93;-0.28221631050109863
94;-0.2812066078186035
95;-0.27969202399253845
96;-0.2680802643299103
97;-0.26732298731803894
98;-0.25823551416397095
99;-0.2600025236606598
100;-0.253439337015152
101;-0.24839074909687042
102;-0.24586646258831024
103;-0.24233244359493256
104;-0.23475955426692963
105;-0.2317304015159607
